datetime,open,high,low,close,volume
2023-12-05 09:15:00+05:30,69168.53,69301.91,68957.14,69244.9,0
2023-12-05 10:15:00+05:30,69248.86,69380.37,69203.01,69244.04,0
2023-12-05 11:15:00+05:30,69246.53,69252.13,68986.04,69135.04,0
2023-12-05 12:15:00+05:30,69133.7,69238.95,69101.94,69201.64,0
2023-12-05 13:15:00+05:30,69199.7,69269.01,69124.55,69188.73,0
2023-12-05 14:15:00+05:30,69188.53,69329.02,69145.97,69303.55,0
2023-12-05 15:15:00+05:30,69304.12,69327.8,69263.96,69288.72,0
2023-12-06 09:15:00+05:30,69534.93,69673.63,69395.01,69451.93,0
2023-12-06 10:15:00+05:30,69451.62,69628.21,69430.57,69597.61,0
2023-12-06 11:15:00+05:30,69594.89,69639.83,69554.14,69616.2,0
2023-12-06 12:15:00+05:30,69614.39,69625.33,69458.14,69470.23,0
2023-12-06 13:15:00+05:30,69469.32,69640.99,69409.73,69615.46,0
2023-12-06 14:15:00+05:30,69614.44,69744.57,69605.71,69674.29,0
2023-12-06 15:15:00+05:30,69675.29,69685.08,69606.72,69649.3,0
2023-12-07 09:15:00+05:30,69694.15,69694.15,69320.53,69400.04,0
2023-12-07 10:15:00+05:30,69400.43,69621.81,69373.22,69594.77,0
2023-12-07 11:15:00+05:30,69595.44,69603.49,69500.83,69562.71,0
2023-12-07 12:15:00+05:30,69562.32,69584.8,69509.33,69577.9,0
2023-12-07 13:15:00+05:30,69579.13,69593.3,69504.29,69528.48,0
2023-12-07 14:15:00+05:30,69526.42,69571.69,69437.15,69508.89,0
2023-12-07 15:15:00+05:30,69514.35,69574.1,69501.15,69533.63,0
2023-12-08 09:15:00+05:30,69666.38,69887.01,69606.88,69828.83,0
2023-12-08 10:15:00+05:30,69829.4,69877.67,69684.96,69759.46,0
2023-12-08 11:15:00+05:30,69757.22,69838.93,69748.92,69790.62,0
2023-12-08 12:15:00+05:30,69792.61,69840.01,69605.14,69705.59,0
2023-12-08 13:15:00+05:30,69706.58,69748.22,69506.22,69682.45,0
2023-12-08 14:15:00+05:30,69676.35,69893.59,69598.18,69890.34,0
2023-12-08 15:15:00+05:30,69870.94,69887.97,69803.24,69843.01,0
2023-12-11 09:15:00+05:30,69925.63,70048.84,69797.15,69988.75,0
2023-12-11 10:15:00+05:30,69988.2,70057.08,69794.8,69964.62,0
2023-12-11 11:15:00+05:30,69960.91,69974.79,69837.47,69884.0,0
2023-12-11 12:15:00+05:30,69881.12,69893.29,69782.48,69872.87,0
2023-12-11 13:15:00+05:30,69873.59,69943.91,69849.14,69914.94,0
2023-12-11 14:15:00+05:30,69915.76,69979.41,69884.15,69927.51,0
2023-12-11 15:15:00+05:30,69928.09,69955.16,69866.22,69917.18,0
2023-12-12 09:15:00+05:30,70020.68,70033.63,69889.24,69914.12,0
2023-12-12 10:15:00+05:30,69914.03,69971.83,69814.98,69947.93,0
2023-12-12 11:15:00+05:30,69948.2,69957.62,69871.35,69939.21,0
2023-12-12 12:15:00+05:30,69940.18,69950.01,69746.46,69761.63,0
2023-12-12 13:15:00+05:30,69760.16,69794.28,69655.97,69657.0,0
2023-12-12 14:15:00+05:30,69660.12,69690.13,69444.21,69557.39,0
2023-12-12 15:15:00+05:30,69554.02,69589.59,69526.67,69537.16,0
2023-12-13 09:15:00+05:30,69648.56,69655.83,69269.97,69353.1,0
2023-12-13 10:15:00+05:30,69353.31,69365.57,69207.9,69307.37,0
2023-12-13 11:15:00+05:30,69307.08,69325.09,69130.1,69158.55,0
2023-12-13 12:15:00+05:30,69159.15,69308.46,69100.56,69266.12,0
2023-12-13 13:15:00+05:30,69265.28,69491.16,69260.93,69448.09,0
2023-12-13 14:15:00+05:30,69448.37,69628.15,69342.14,69578.43,0
2023-12-13 15:15:00+05:30,69579.33,69657.44,69562.43,69595.66,0
2023-12-14 09:15:00+05:30,70146.09,70538.0,70110.75,70447.83,0
2023-12-14 10:15:00+05:30,70445.08,70468.27,70362.83,70447.68,0
2023-12-14 11:15:00+05:30,70444.28,70498.95,70402.32,70420.49,0
2023-12-14 12:15:00+05:30,70420.32,70505.92,70388.53,70478.99,0
2023-12-14 13:15:00+05:30,70483.98,70602.72,70466.67,70528.67,0
2023-12-14 14:15:00+05:30,70528.73,70568.89,70437.27,70460.39,0
2023-12-14 15:15:00+05:30,70461.01,70583.91,70457.48,70529.13,0
2023-12-15 09:15:00+05:30,70804.13,70976.47,70657.38,70973.72,0
2023-12-15 10:15:00+05:30,70969.14,71080.64,70873.61,70948.75,0
2023-12-15 11:15:00+05:30,70948.73,71033.61,70926.64,70954.25,0
2023-12-15 12:15:00+05:30,70953.55,71049.34,70924.56,70970.62,0
2023-12-15 13:15:00+05:30,70969.24,71170.5,70954.06,71031.78,0
2023-12-15 14:15:00+05:30,71032.03,71465.35,70996.08,71464.3,0
2023-12-15 15:15:00+05:30,71465.67,71605.37,71457.62,71473.66,0
2023-12-18 09:15:00+05:30,71437.35,71531.85,71142.29,71469.18,0
2023-12-18 10:15:00+05:30,71469.08,71550.29,71399.68,71484.84,0
2023-12-18 11:15:00+05:30,71485.13,71550.06,71414.23,71462.48,0
2023-12-18 12:15:00+05:30,71464.72,71478.79,71306.56,71328.7,0
2023-12-18 13:15:00+05:30,71330.06,71412.9,71324.86,71383.26,0
2023-12-18 14:15:00+05:30,71383.71,71449.56,71298.73,71321.25,0
2023-12-18 15:15:00+05:30,71320.97,71343.98,71269.72,71290.98,0
2023-12-19 09:15:00+05:30,71479.28,71569.2,71072.51,71125.15,0
