symbol,days,avg_close,std_close,min_close,max_close,total_return_%,ann_volatility_%,sharpe_ratio,max_drawdown_%,positive_day_%,avg_daily_range_%,avg_volume,med_volume,start,end
UNIONBANK,2403,92.71,47.2,22.85,202.14,21.3,43.2,0.05,-88.0,49.0,3.69,12061782,8650793,2016-10-03,2026-06-17
UNITDSPR,2403,843.58,341.76,357.66,1681.45,169.8,30.4,0.34,-43.3,50.5,2.78,1714853,1261116,2016-10-03,2026-06-17
UPL,2367,570.38,112.22,244.22,818.76,39.1,33.7,0.1,-63.4,50.4,2.85,3531809,2485829,2016-10-03,2026-06-19
VBL,2381,253.91,180.83,71.32,674.8,344.2,48.6,0.32,-62.8,50.6,3.48,3580842,2113898,2016-11-08,2026-06-17
VEDL,2403,292.56,130.78,61.55,785.5,71.2,53.6,0.11,-82.2,52.1,3.35,14873414,11167520,2016-10-03,2026-06-17
VOLTAS,2404,905.86,374.8,292.7,1932.0,249.4,31.5,0.42,-44.4,51.2,2.88,1525941,1205787,2016-10-03,2026-06-18
WESTLIFE,1692,603.19,186.42,273.15,992.4,63.8,36.3,0.2,-58.2,47.4,3.94,193726,102665,2019-08-19,2026-06-18
WIPRO,2402,188.37,71.9,81.18,360.75,103.3,26.1,0.29,-50.8,50.9,2.24,13929408,10183533,2016-10-03,2026-06-16
YESBANK,2404,95.41,122.26,10.8,394.0,-90.0,63.9,-0.38,-97.3,44.8,4.02,117601313,79286229,2016-10-03,2026-06-18
ZYDUSLIFE,2403,559.24,261.3,213.85,1302.0,172.2,30.1,0.35,-61.1,49.9,2.86,2002986,1171926,2016-10-03,2026-06-17
