date,Long-Only D9_ret,Long-Only D9_n,LS-D10/D10_ret,LS-D10/D10_n,LS-D9/B9_ret,LS-D9/B9_n,Directional Long_ret,Directional Long_n,Directional Short_ret,Directional Short_n,Threshold Long_ret,Threshold Long_n,Threshold Short_ret,Threshold Short_n,Market Timing_ret,Market Timing_n,Combined LS_ret,Combined LS_n
2025-03-25 00:00:00+05:30,0.2047227384821243,8,0.0045146762597516,16,-0.0647042757129821,18.0,1.137030349680705,48,-1.2672410616768042,40,2.106786464391234,3,1.157790202296638,5,-1.1962170369516592,88,0.0045146762597516,16
2025-03-26 00:00:00+05:30,0.3483130575949233,8,0.6091440212875477,16,0.3457810827124628,18.0,-0.4138493782514241,85,2.5236219318867845,3,-0.1669790419877724,41,2.5236219318867845,3,-0.4857734425799022,88,0.6091440212875477,16
2025-03-27 00:00:00+05:30,0.0552456761927541,8,0.5959268620202615,16,0.6083971280978806,18.0,-0.2475802612182599,23,0.635794844099813,65,-0.3507401913016017,3,1.5697564092082823,14,0.5343296690284981,88,0.5959268620202615,16
2025-03-31 00:00:00+05:30,0.9199405086629489,8,-0.0079979855661723,16,-0.1549293765930671,18.0,1.1318086227427628,33,-1.2842993481932727,55,0.0,0,-0.0747941921650147,4,-1.2271153261493313,88,-0.0079979855661723,16
2025-04-01 00:00:00+05:30,1.2386374360262948,8,0.7652350707325443,16,0.7142717372961712,18.0,0.6423297625199507,83,0.7676934081758935,5,1.7546435650833248,1,0.6630177910146751,3,0.5622148096395049,88,0.7652350707325443,16
2025-04-02 00:00:00+05:30,-1.2461529985861932,8,1.1597941537967813,16,1.3727681000090732,18.0,-2.4413290165051347,50,3.691099305129452,38,-1.0192837465564653,1,3.4035302620671453,26,2.981002550229272,88,1.1597941537967813,16
2025-04-03 00:00:00+05:30,-1.081044344239687,8,0.8912580648563913,16,0.83915365392644,18.0,-1.9078514720910145,28,3.825867515977028,60,1.071796034638436,4,2.299291075211249,5,3.2155896838314777,88,0.8912580648563913,16
2025-04-06 00:00:00+05:30,1.537832266529722,8,0.8230067367346147,16,0.9434205780462946,18.0,1.8786931927638288,83,0.993749333477114,5,1.900241498903092,76,2.12040960451978,1,1.7154862310455934,88,0.8230067367346147,16
2025-04-07 00:00:00+05:30,-0.5539767448196662,8,0.3693268251378934,16,0.1233991507481383,18.0,-0.5232229182979627,88,0.0,0,-0.5243081948712498,86,0.0,0,-0.5232229182979627,88,0.3693268251378934,16
2025-04-08 00:00:00+05:30,1.6229149981407176,8,0.1266142846182552,16,-0.0376957552141713,18.0,1.432141876304758,29,-1.7799931398839657,59,1.6155874057613375,7,5.717761557177603,1,1.6653603371135448,88,0.1266142846182552,16
2025-04-10 00:00:00+05:30,1.3965991369731492,8,-0.7977058019141753,16,-0.4777626334031344,18.0,2.150633427129508,11,-3.587041764781902,77,0.6396632805870162,2,-3.339986950073789,12,-3.407490722575352,88,-0.7977058019141753,16
2025-04-14 00:00:00+05:30,0.5314518822225431,8,0.3340705169815612,16,0.4986382227423024,18.0,0.8814593758024255,87,3.06579143667014,1,1.1208494719576974,21,3.06579143667014,1,0.8366042529334191,88,0.3340705169815612,16
2025-04-15 00:00:00+05:30,0.1446579823500118,8,-0.3831153238133781,16,-0.3919579066829407,18.0,0.6882982877600944,88,0.0,0,0.7230625271556129,84,0.0,0,0.6882982877600944,88,-0.3831153238133781,16
2025-04-16 00:00:00+05:30,2.908808739800553,8,1.7072311595874992,16,1.5737784533756778,18.0,2.255653173823491,85,3.741395081880744,3,2.6370334477584945,21,3.741395081880744,3,2.0512083469244837,88,1.7072311595874992,16
2025-04-20 00:00:00+05:30,0.3335671000787132,8,0.8073715882432955,16,0.66158045877148,18.0,0.5963496247158365,73,0.5684473591224521,11,-0.3750697699812999,5,1.6864783356385686,7,0.4438166863560604,84,0.8073715882432955,16
